ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,56760475.74585127,45029014.9026231,63050232.91424286,56760475.74585127,56760475.74585127,-2415668.540889048,-2415668.540889048,-2415668.540889048,26329.720473280762,26329.720473280762,26329.720473280762,-2441998.2613623287,-2441998.2613623287,-2441998.2613623287,0.0,0.0,0.0,54344807.204962224
2023-01-02,56759146.9662929,43348126.865227096,61986199.51406503,56759146.9662929,56759146.9662929,-3652125.050134008,-3652125.050134008,-3652125.050134008,-1086491.780520169,-1086491.780520169,-1086491.780520169,-2565633.2696138383,-2565633.2696138383,-2565633.2696138383,0.0,0.0,0.0,53107021.91615889
2023-01-03,56757818.18673453,43691634.349942245,62032702.24241937,56757818.18673453,56757818.18673453,-3496468.1598530603,-3496468.1598530603,-3496468.1598530603,-859143.5992364108,-859143.5992364108,-859143.5992364108,-2637324.5606166497,-2637324.5606166497,-2637324.5606166497,0.0,0.0,0.0,53261350.026881464
2023-01-04,56756489.40717616,45773621.724859536,63715531.28466558,56756489.40717616,56756489.40717616,-2082392.3492689973,-2082392.3492689973,-2082392.3492689973,572021.3035172244,572021.3035172244,572021.3035172244,-2654413.652786222,-2654413.652786222,-2654413.652786222,0.0,0.0,0.0,54674097.057907164
2023-01-05,56755160.62761779,45657568.85395519,63770460.25439463,56755160.62761779,56755160.62761779,-2192286.197652559,-2192286.197652559,-2192286.197652559,423331.8324050043,423331.8324050043,423331.8324050043,-2615618.030057563,-2615618.030057563,-2615618.030057563,0.0,0.0,0.0,54562874.429965235
2023-01-06,56753831.848059416,46014435.230237454,64515087.85486902,56753831.848059416,56753831.848059416,-1854735.7343010753,-1854735.7343010753,-1854735.7343010753,666336.9238910124,666336.9238910124,666336.9238910124,-2521072.658192088,-2521072.658192088,-2521072.658192088,0.0,0.0,0.0,54899096.11375834
2023-01-07,56752503.06850105,45042721.43381922,63516203.03959562,56752503.06850105,56752503.06850105,-2114718.4032824365,-2114718.4032824365,-2114718.4032824365,257615.5994732073,257615.5994732073,257615.5994732073,-2372334.002755644,-2372334.002755644,-2372334.002755644,0.0,0.0,0.0,54637784.665218614
2023-01-08,56751174.28894268,45775698.755959906,64239396.25910927,56751174.28894268,56751174.28894268,-2146016.615748916,-2146016.615748916,-2146016.615748916,26329.720473736532,26329.720473736532,26329.720473736532,-2172346.336222653,-2172346.336222653,-2172346.336222653,0.0,0.0,0.0,54605157.67319377
2023-01-09,56749845.509384304,44951480.41186498,62872136.946274154,56749845.509384304,56749845.509384304,-3011862.9227066673,-3011862.9227066673,-3011862.9227066673,-1086491.7805201572,-1086491.7805201572,-1086491.7805201572,-1925371.1421865094,-1925371.1421865094,-1925371.1421865094,0.0,0.0,0.0,53737982.58667764
2023-01-10,56748516.72982593,44998656.22133536,63291169.067111395,56748516.72982593,56748516.72982593,-2496025.0240112906,-2496025.0240112906,-2496025.0240112906,-859143.5992376962,-859143.5992376962,-859143.5992376962,-1636881.4247735944,-1636881.4247735944,-1636881.4247735944,0.0,0.0,0.0,54252491.70581464
2023-01-11,56747187.95026756,46314012.78536989,64860577.7180701,56747187.95026756,56747187.95026756,-741402.3800987753,-741402.3800987753,-741402.3800987753,572021.3035158084,572021.3035158084,572021.3035158084,-1313423.683614584,-1313423.683614584,-1313423.683614584,0.0,0.0,0.0,56005785.570168786
2023-01-12,56745859.17070919,46647252.250103645,64903476.14897181,56745859.17070919,56745859.17070919,-539119.3604338982,-539119.3604338982,-539119.3604338982,423331.83240419324,423331.83240419324,423331.83240419324,-962451.1928380914,-962451.1928380914,-962451.1928380914,0.0,0.0,0.0,56206739.810275294
2023-01-13,56744530.39115082,46906851.082304046,65930275.814873196,56744530.39115082,56744530.39115082,74203.92150392126,74203.92150392126,74203.92150392126,666336.9238911779,666336.9238911779,666336.9238911779,-592133.0023872567,-592133.0023872567,-592133.0023872567,0.0,0.0,0.0,56818734.31265474
2023-01-14,56743201.61159245,47832239.161616325,65451083.485009976,56743201.61159245,56743201.61159245,46471.859537066484,46471.859537066484,46471.859537066484,257615.59947236106,257615.59947236106,257615.59947236106,-211143.73993529458,-211143.73993529458,-211143.73993529458,0.0,0.0,0.0,56789673.471129514
2023-01-15,56741872.83203408,47626918.468337595,66144902.68786078,56741872.83203408,56741872.83203408,197889.90681880977,197889.90681880977,197889.90681880977,26329.720472624063,26329.720472624063,26329.720472624063,171560.18634618568,171560.18634618568,171560.18634618568,0.0,0.0,0.0,56939762.73885289
2023-01-16,56740544.052475706,47024394.90254947,66081345.2465444,56740544.052475706,56740544.052475706,-539519.7661689736,-539519.7661689736,-539519.7661689736,-1086491.7805197535,-1086491.7805197535,-1086491.7805197535,546972.0143507799,546972.0143507799,546972.0143507799,0.0,0.0,0.0,56201024.28630673
2023-01-17,56739215.27291734,47960998.85288151,66708197.7324216,56739215.27291734,56739215.27291734,47123.90785167126,47123.90785167126,47123.90785167126,-859143.5992356233,-859143.5992356233,-859143.5992356233,906267.5070872946,906267.5070872946,906267.5070872946,0.0,0.0,0.0,56786339.18076901
2023-01-18,56737886.49335896,49115511.393365644,67317083.7125833,56737886.49335896,56737886.49335896,1813054.3722381133,1813054.3722381133,1813054.3722381133,572021.3035167343,572021.3035167343,572021.3035167343,1241033.068721379,1241033.068721379,1241033.068721379,0.0,0.0,0.0,58550940.86559708
2023-01-19,56736557.71380059,49521352.66533843,68372632.01330556,56736557.71380059,56736557.71380059,1966814.8450459999,1966814.8450459999,1966814.8450459999,423331.83240443293,423331.83240443293,423331.83240443293,1543483.012641567,1543483.012641567,1543483.012641567,0.0,0.0,0.0,58703372.558846585
2023-01-20,56735228.93424222,50275937.680123225,68612250.0914823,56735228.93424222,56735228.93424222,2472997.116703701,2472997.116703701,2472997.116703701,666336.9238910669,666336.9238910669,666336.9238910669,1806660.1928126344,1806660.1928126344,1806660.1928126344,0.0,0.0,0.0,59208226.05094592
2023-01-21,56733900.15468385,49466323.48737498,68308845.52011776,56733900.15468385,56733900.15468385,2282230.2627874557,2282230.2627874557,2282230.2627874557,257615.5994735628,257615.5994735628,257615.5994735628,2024614.6633138927,2024614.6633138927,2024614.6633138927,0.0,0.0,0.0,59016130.417471305
2023-01-22,56732571.375125475,49263789.69463347,68133741.80125496,56732571.375125475,56732571.375125475,2218885.3498948542,2218885.3498948542,2218885.3498948542,26329.720471511475,26329.720471511475,26329.720471511475,2192555.6294233426,2192555.6294233426,2192555.6294233426,0.0,0.0,0.0,58951456.72502033
2023-01-23,56731242.59556711,48622882.34431717,67260883.73539485,56731242.59556711,56731242.59556711,1220480.8997832795,1220480.8997832795,1220480.8997832795,-1086491.7805179395,-1086491.7805179395,-1086491.7805179395,2306972.6803012188,2306972.6803012188,2306972.6803012188,0.0,0.0,0.0,57951723.49535038
2023-01-24,56729913.81600874,48790984.37711269,67618759.91336036,56729913.81600874,56729913.81600874,1506579.5289571027,1506579.5289571027,1506579.5289571027,-859143.5992335505,-859143.5992335505,-859143.5992335505,2365723.1281906534,2365723.1281906534,2365723.1281906534,0.0,0.0,0.0,58236493.344965845
2023-01-25,56728585.03794219,50030334.04481202,68236812.99409318,56728585.03794219,56728585.03794219,2940104.502503849,2940104.502503849,2940104.502503849,572021.3035164366,572021.3035164366,572021.3035164366,2368083.1989874127,2368083.1989874127,2368083.1989874127,0.0,0.0,0.0,59668689.54044604
2023-01-26,56727256.25987565,50030082.384999365,68555702.08974499,56727256.25987565,56727256.25987565,2738093.631011536,2738093.631011536,2738093.631011536,423331.83240414725,423331.83240414725,423331.83240414725,2314761.7986073885,2314761.7986073885,2314761.7986073885,0.0,0.0,0.0,59465349.890887186
2023-01-27,56725927.48180911,50335165.529759414,68564929.40946716,56725927.48180911,56725927.48180911,2874213.515740357,2874213.515740357,2874213.515740357,666336.9238914971,666336.9238914971,666336.9238914971,2207876.59184886,2207876.59184886,2207876.59184886,0.0,0.0,0.0,59600140.99754947
2023-01-28,56724598.70374256,49188928.313440755,67721079.01585087,56724598.70374256,56724598.70374256,2308508.746957685,2308508.746957685,2308508.746957685,257615.59947302137,257615.59947302137,257615.59947302137,2050893.1474846639,2050893.1474846639,2050893.1474846639,0.0,0.0,0.0,59033107.450700246
2023-01-29,56723269.925676025,49053473.19093371,67892874.35317658,56723269.925676025,56723269.925676025,1874858.6176684657,1874858.6176684657,1874858.6176684657,26329.720470399006,26329.720470399006,26329.720470399006,1848528.897198067,1848528.897198067,1848528.897198067,0.0,0.0,0.0,58598128.54334449
2023-01-30,56721941.14760948,47151546.68417613,65974439.42344882,56721941.14760948,56721941.14760948,520132.8189303609,520132.8189303609,520132.8189303609,-1086491.7805197297,-1086491.7805197297,-1086491.7805197297,1606624.5994500907,1606624.5994500907,1606624.5994500907,0.0,0.0,0.0,57242073.96653984
2023-01-31,56720612.36954294,48021780.935475014,66123121.99170183,56720612.36954294,56720612.36954294,472843.26737225393,472843.26737225393,472843.26737225393,-859143.599233157,-859143.599233157,-859143.599233157,1331986.8666054108,1331986.8666054108,1331986.8666054108,0.0,0.0,0.0,57193455.63691519
2023-02-01,56719283.591476396,49268968.56879326,68342840.35636543,56719283.591476396,56719283.591476396,1604227.3845584034,1604227.3845584034,1604227.3845584034,572021.3035137976,572021.3035137976,572021.3035137976,1032206.0810446059,1032206.0810446059,1032206.0810446059,0.0,0.0,0.0,58323510.9760348
2023-02-02,56717954.81340985,49601012.290055454,68142003.9442139,56717954.81340985,56717954.81340985,1138786.5051835598,1138786.5051835598,1138786.5051835598,423331.83240386157,423331.83240386157,423331.83240386157,715454.6727796982,715454.6727796982,715454.6727796982,0.0,0.0,0.0,57856741.31859341
2023-02-03,56716626.03534331,48591744.87386337,66658482.19910812,56716626.03534331,56716626.03534331,1056608.163666916,1056608.163666916,1056608.163666916,666336.9238911094,666336.9238911094,666336.9238911094,390271.23977580655,390271.23977580655,390271.23977580655,0.0,0.0,0.0,57773234.19901023
2023-02-04,56715297.257276766,48047315.39327039,66134432.8662575,56715297.257276766,56715297.257276766,322951.9487810517,322951.9487810517,322951.9487810517,257615.59947422298,257615.59947422298,257615.59947422298,65336.34930682869,65336.34930682869,65336.34930682869,0.0,0.0,0.0,57038249.20605782
2023-02-05,56713968.47921023,46901580.388416946,65555077.27283273,56713968.47921023,56713968.47921023,-224424.22453489076,-224424.22453489076,-224424.22453489076,26329.720470854776,26329.720470854776,26329.720470854776,-250753.94500574554,-250753.94500574554,-250753.94500574554,0.0,0.0,0.0,56489544.254675336
2023-02-06,56712639.70114368,46065026.504823014,64409460.71947672,56712639.70114368,56712639.70114368,-1636202.5857737581,-1636202.5857737581,-1636202.5857737581,-1086491.7805197178,-1086491.7805197178,-1086491.7805197178,-549710.8052540403,-549710.8052540403,-549710.8052540403,0.0,0.0,0.0,55076437.11536992
2023-02-07,56711310.92307714,45287988.58758673,64240111.82532304,56711310.92307714,56711310.92307714,-1682909.1996405346,-1682909.1996405346,-1682909.1996405346,-859143.5992353575,-859143.5992353575,-859143.5992353575,-823765.6004051771,-823765.6004051771,-823765.6004051771,0.0,0.0,0.0,55028401.7234366
2023-02-08,56709982.1450106,46580011.37751505,65490815.19301486,56709982.1450106,56709982.1450106,-493846.24968658324,-493846.24968658324,-493846.24968658324,572021.3035134999,572021.3035134999,572021.3035134999,-1065867.553200083,-1065867.553200083,-1065867.553200083,0.0,0.0,0.0,56216135.895324014
2023-02-09,56708653.36694405,46998136.240961514,65257585.4237936,56708653.36694405,56708653.36694405,-846529.0262167639,-846529.0262167639,-846529.0262167639,423331.8324035759,423331.8324035759,423331.8324035759,-1269860.8586203398,-1269860.8586203398,-1269860.8586203398,0.0,0.0,0.0,55862124.34072729
2023-02-10,56707324.588877514,46672796.01384804,65193771.05174075,56707324.588877514,56707324.588877514,-764299.7545261518,-764299.7545261518,-764299.7545261518,666336.9238912751,666336.9238912751,666336.9238912751,-1430636.6784174268,-1430636.6784174268,-1430636.6784174268,0.0,0.0,0.0,55943024.83435136
2023-02-11,56705995.81081097,46199822.41355086,64958581.37633138,56705995.81081097,56705995.81081097,-1286640.5279086458,-1286640.5279086458,-1286640.5279086458,257615.59947337682,257615.59947337682,257615.59947337682,-1544256.1273820226,-1544256.1273820226,-1544256.1273820226,0.0,0.0,0.0,55419355.28290232
2023-02-12,56704667.03274443,45739965.75568568,64777790.49735513,56704667.03274443,56704667.03274443,-1581711.4600568553,-1581711.4600568553,-1581711.4600568553,26329.720473903148,26329.720473903148,26329.720473903148,-1608041.1805307586,-1608041.1805307586,-1608041.1805307586,0.0,0.0,0.0,55122955.572687574
2023-02-13,56703338.254677884,43881907.916227445,62751620.0707194,56703338.254677884,56703338.254677884,-2707123.1037357827,-2707123.1037357827,-2707123.1037357827,-1086491.780519706,-1086491.780519706,-1086491.780519706,-1620631.323216076,-1620631.323216076,-1620631.323216076,0.0,0.0,0.0,53996215.1509421
2023-02-14,56702009.47661134,44750242.1883492,63073288.2961881,56702009.47661134,56702009.47661134,-2441148.312417855,-2441148.312417855,-2441148.312417855,-859143.5992383218,-859143.5992383218,-859143.5992383218,-1582004.7131795334,-1582004.7131795334,-1582004.7131795334,0.0,0.0,0.0,54260861.16419348
2023-02-15,56700680.6985448,46762574.774443425,64680949.99583227,56700680.6985448,56700680.6985448,-921442.2947900249,-921442.2947900249,-921442.2947900249,572021.3035156492,572021.3035156492,572021.3035156492,-1493463.598305674,-1493463.598305674,-1493463.598305674,0.0,0.0,0.0,55779238.40375478
2023-02-16,56699351.920478255,46337377.05526759,64617974.623305105,56699351.920478255,56699351.920478255,-934252.8767579262,-934252.8767579262,-934252.8767579262,423331.83240381564,423331.83240381564,423331.83240381564,-1357584.709161742,-1357584.709161742,-1357584.709161742,0.0,0.0,0.0,55765099.04372033
2023-02-17,56698023.14241172,46788960.82897941,65687664.22781171,56698023.14241172,56698023.14241172,-511799.3703806977,-511799.3703806977,-511799.3703806977,666336.9238911641,666336.9238911641,666336.9238911641,-1178136.294271862,-1178136.294271862,-1178136.294271862,0.0,0.0,0.0,56186223.77203102
2023-02-18,56696694.36954438,46558913.67138638,64882926.338672355,56696694.36954438,56696694.36954438,-702348.7629101215,-702348.7629101215,-702348.7629101215,257615.59947253068,257615.59947253068,257615.59947253068,-959964.362382652,-959964.362382652,-959964.362382652,0.0,0.0,0.0,55994345.60663426
2023-02-19,56695365.59667706,46833065.12360503,65394404.08454585,56695365.59667706,56695365.59667706,-682521.7946609594,-682521.7946609594,-682521.7946609594,26329.720474358986,26329.720474358986,26329.720474358986,-708851.5151353183,-708851.5151353183,-708851.5151353183,0.0,0.0,0.0,56012843.802016094
2023-02-20,56694036.82380973,45952189.94409443,64889041.84068067,56694036.82380973,56694036.82380973,-1517844.2538992185,-1517844.2538992185,-1517844.2538992185,-1086491.7805196939,-1086491.7805196939,-1086491.7805196939,-431352.47337952454,-431352.47337952454,-431352.47337952454,0.0,0.0,0.0,55176192.56991051
2023-02-21,56692708.0509424,46726487.11826745,64251725.194196515,56692708.0509424,56692708.0509424,-993754.6006486624,-993754.6006486624,-993754.6006486624,-859143.5992362492,-859143.5992362492,-859143.5992362492,-134611.00141241326,-134611.00141241326,-134611.00141241326,0.0,0.0,0.0,55698953.450293735
